tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-1982,1982,Group 2,Algeria,3,2,0,1,5,5,4,0,3
WC-1982,1982,Group 2,England,2,0,2,0,0,0,2,0,4
WC-1982,1982,Group 2,Spain,2,0,1,1,1,2,1,-1,5
WC-1982,1982,Group 2,Chile,3,0,0,3,3,8,0,-5,6
WC-1982,1982,Group 3,Belgium,3,2,1,0,3,1,5,2,1
WC-1982,1982,Group 3,Italy,2,2,0,0,5,3,4,2,2
WC-1982,1982,Group 3,Argentina,5,2,0,3,8,7,4,1,3
WC-1982,1982,Group 3,Hungary,3,1,1,1,12,6,3,6,4
WC-1982,1982,Group 3,Brazil,2,1,0,1,5,4,2,1,5
WC-1982,1982,Group 3,El Salvador,3,0,0,3,1,13,0,-12,6
WC-1982,1982,Group 4,France,5,3,1,1,11,6,7,5,1
WC-1982,1982,Group 4,England,3,3,0,0,6,1,6,5,2
WC-1982,1982,Group 4,Czechoslovakia,3,0,2,1,2,4,2,-2,3
WC-1982,1982,Group 4,Austria,2,0,1,1,2,3,1,-1,4
WC-1982,1982,Group 4,Northern Ireland,2,0,1,1,3,6,1,-3,5
WC-1982,1982,Group 4,Kuwait,3,0,1,2,2,6,1,-4,6
WC-1982,1982,Group 5,Northern Ireland,3,1,2,0,2,1,4,1,1
WC-1982,1982,Group 5,Spain,3,1,1,1,3,3,3,0,2
WC-1982,1982,Group 5,Yugoslavia,3,1,1,1,2,2,3,0,3
WC-1982,1982,Group 5,Honduras,3,0,2,1,2,3,2,-1,4
WC-1982,1982,Group 6,Brazil,3,3,0,0,10,2,6,8,1
WC-1982,1982,Group 6,Russia,3,1,1,1,6,4,3,2,2
WC-1982,1982,Group 6,Scotland,3,1,1,1,8,8,3,0,3
WC-1982,1982,Group 6,New Zealand,3,0,0,3,2,12,0,-10,4
WC-1986,1986,Group A,Argentina,3,2,1,0,6,2,5,4,1
WC-1986,1986,Group A,Italy,3,1,2,0,5,4,4,1,2
WC-1986,1986,Group A,Bulgaria,3,0,2,1,2,4,2,-2,3
WC-1986,1986,Group A,South Korea,3,0,1,2,4,7,1,-3,4
WC-1986,1986,Group B,Mexico,3,2,1,0,4,2,5,2,1
WC-1986,1986,Group B,Paraguay,3,1,2,0,4,3,4,1,2
WC-1986,1986,Group B,Belgium,3,1,1,1,5,5,3,0,3
WC-1986,1986,Group B,Iraq,3,0,0,3,1,4,0,-3,4
WC-1986,1986,Group C,Russia,3,2,1,0,9,1,5,8,1
WC-1986,1986,Group C,France,3,2,1,0,5,1,5,4,2
WC-1986,1986,Group C,Hungary,3,1,0,2,2,9,2,-7,3
WC-1986,1986,Group C,Canada,3,0,0,3,0,5,0,-5,4
WC-1986,1986,Group D,Brazil,3,3,0,0,5,0,6,5,1
WC-1986,1986,Group D,Spain,3,2,0,1,5,2,4,3,2
WC-1986,1986,Group D,Northern Ireland,3,0,1,2,2,6,1,-4,3
WC-1986,1986,Group D,Algeria,3,0,1,2,1,5,1,-4,4
WC-1986,1986,Group E,Denmark,3,3,0,0,9,1,6,8,1
WC-1986,1986,Group E,Germany,3,1,1,1,3,4,3,-1,2
WC-1986,1986,Group E,Uruguay,3,0,2,1,2,7,2,-5,3
WC-1986,1986,Group E,Scotland,3,0,1,2,1,3,1,-2,4
WC-1986,1986,Group F,Morocco,3,1,2,0,3,1,4,2,1
WC-1986,1986,Group F,England,3,1,1,1,3,1,3,2,2
WC-1986,1986,Group F,Poland,3,1,1,1,1,3,3,-2,3
WC-1986,1986,Group F,Portugal,3,1,0,2,2,4,2,-2,4
WC-1990,1990,Group A,Italy,3,3,0,0,4,0,6,4,1
WC-1990,1990,Group A,Czechoslovakia,3,2,0,1,6,3,4,3,2
WC-1990,1990,Group A,Austria,3,1,0,2,2,3,2,-1,3
WC-1990,1990,Group A,United States,3,0,0,3,2,8,0,-6,4
WC-1990,1990,Group B,Cameroon,3,2,0,1,3,5,4,-2,1
WC-1990,1990,Group B,Romania,3,1,1,1,4,3,3,1,2
WC-1990,1990,Group B,Argentina,3,1,1,1,3,2,3,1,3
WC-1990,1990,Group B,Russia,3,1,0,2,4,4,2,0,4
